Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-26799,DNR|Pancakes|Blueberry|2PC,FT GRILL BREAKFAST,Green,False,False,True,326.930832522,1.768196245,0.57831893999999,82.49,2907.83,119.61,0.65,30.18,1063.84,0.21
R-26786,DNR|Poutine|Classic,FT GRILL DAY,Yellow,False,True,False,645.5059314792779,6.542149553386272,0.8457248240421992,94.68,4880.04,234.73,2.38,34.43,1774.56,0.31
R-71518,DNR|Roasted Mushrooms,FEAST,Green,False,False,True,87.91905527950311,1.2059931677018634,0.235045900621118,12.41,448.4,70.34,0.96,9.93,358.72,0.19
R-73167,DNR|Sausage|Beyond Breakfast ,FT GRILL DAY,Green,False,False,True,79.57051200000004,0.2676240000000001,0.1877904,0.3,1.47,175.42,0.59,0.66,3.24,0.41
R-27423,DNR|Sausage|Turkey Breakfast,FT GRILL BREAKFAST,Yellow,False,True,False,329.9700824925207,8.760002190000549,0.863250215812554,27.77,25.01,274.98,7.3,23.14,20.84,0.72
R-71651,DNR|SauteeSpinach & Kale|SIDE,FT GRILL BREAKFAST,Green,False,False,True,233.48115535714288,1.6429307142857148,0.9054354285714286,14.56,568.03,155.65,1.1,9.71,378.69,0.6
R-36669,DNR|Toast|Smashed Avocado,FEAST,Green,False,False,True,241.44619368264603,1.5563479007040046,0.4682309734258618,49.59,2441.2,113.76,0.73,23.36,1150.18,0.22
R-71577,DNR|Toast|Smashed Chickpea ,FEAST,Yellow,False,True,False,332.3539758633634,1.871421255255256,1.9019130650150091,26.29,816.39,189.65,1.07,15.0,465.86,1.09
R-27334,DNR|Toast|Spiced French ,FT GRILL BREAKFAST,Red,True,False,False,1417.6871317948735,12.28648350427352,2.3729439487179422,136.24,6788.12,492.25,4.27,47.31,2356.99,0.82
R-46336,DNR|Tomato|Grilled,FT GRILL BREAKFAST,Green,False,False,True,80.58220732600732,0.8353223443223446,0.0579652014652014,8.15,468.64,89.54,0.93,9.06,520.71,0.06
R-32742,GR|ApplePieOvernightOats,FEAST,Green,False,False,True,453.16924102634624,1.093953426710432,0.8612320459003278,110.37,5309.34,131.35,0.32,31.99,1538.94,0.25
R-61846,GR|Bircher Muesli|VEGAN,FT GRILL BREAKFAST,Green,False,False,True,327.5996668421053,1.0057755263157897,0.4232425526315789,63.51,3340.78,119.13,0.37,23.09,1214.83,0.15
R-73303,GR|MediterraneanChickpea Salad,FEAST,Green,False,False,True,367.28159960369413,2.07171415792361,1.6493115149292927,49.66,1532.69,92.75,0.52,12.54,387.04,0.42
R-55117,GR|Oats|Banana Almond Overnite,FT SWEETGREEN,Yellow,False,True,False,615.0200873263097,1.60758284672118,1.311490923929514,116.25,5967.69,186.37,0.49,35.23,1808.39,0.4
R-57345,GR|Oats|Steel Cut|Spicd Pmpkn,FT SWEETGREEN,Yellow,False,True,False,447.49473726293104,1.857867834051724,0.8467987068965518,88.8,3848.51,175.49,0.73,34.82,1509.22,0.33
R-56959,GR|Oats|Steel Cut|Strawberry,FEAST,Yellow,False,True,False,614.6163854740607,3.9947766900480177,0.9931380143112556,96.19,3966.79,236.39,1.54,37.0,1525.69,0.38
R-55132,GR|Salad|Beet & Arugula,FT SWEETGREEN,Green,False,False,True,382.1560787134599,3.778984333818957,0.6860690632509346,38.19,1870.2,138.97,1.37,13.89,680.07,0.25
R-62051,GR|Salad|Chopped Thai,FT SWEETGREEN,Green,False,False,True,333.53355403940805,2.2450698982843456,1.1795183686526038,47.69,2938.61,107.25,0.72,15.33,944.89,0.38
R-38248,GR|Salad|Ensalada Mexicana,FT SWEETGREEN,Yellow,False,True,False,704.9892276835221,5.918362351124959,2.102420192151315,84.07,3642.71,210.44,1.77,25.1,1087.38,0.63
R-51265,GR|Salad|Greek ,FT SWEETGREEN,Green,False,False,True,514.6309956819068,4.79736323996293,1.033936698476141,61.64,2966.76,149.17,1.39,17.87,859.93,0.3
R-35749,GR|Salad|Honey Sesame Chicken,FT SWEETGREEN,Yellow,False,True,False,695.0762094773963,10.472006076288084,2.127309717122105,66.15,2222.72,224.22,3.38,21.34,717.01,0.69
R-73598,GR|Salad|Kale & Fonio Mango ,FEAST,Yellow,False,True,False,375.8747201750282,1.6812266284918078,1.0617626763778003,77.37,4494.03,126.56,0.57,26.05,1513.14,0.36
R-56900,GR|Salad|Signature greens,FT SIDES ,Yellow,False,True,False,211.0353455781402,1.175647833269565,0.6320944085880084,36.15,2337.73,127.9,0.71,21.91,1416.81,0.38
R-35751,GR|Salad|Spicy Caesar,FT SWEETGREEN,Yellow,False,True,False,710.9860373705578,6.776326332278122,2.1284897825192672,82.59,3703.25,218.76,2.09,25.41,1139.46,0.65
R-61838,GR|Salad|Spinach,FT SWEETGREEN,Red,True,False,False,1116.2217516573903,12.893268978487,2.4352118715418927,195.86,7782.45,369.61,4.27,64.85,2576.97,0.81
R-57005,GR|Sandwich|Classic Reuben ,FT SWEETGREEN,Red,True,False,False,4606.614320335006,36.8379143192087,13.624041951040674,247.33,9031.1,1645.22,13.16,88.33,3225.39,4.87
R-57158,GR|Sandwich|Focaccia Caprese,FT SWEETGREEN,Yellow,False,True,False,813.2440900000003,7.866194843750003,1.0276419999999935,135.94,6419.33,287.37,2.78,48.04,2268.31,0.36
R-56941,GR|Sandwich|Italian Hoagie,FT SWEETGREEN,Yellow,False,True,False,729.4125445037221,8.021819413261584,1.459801192876793,131.32,4435.07,209.0,2.3,37.63,1270.79,0.42
R-57043,GR|Sandwich|Mediterranean Veg,FT SWEETGREEN,Yellow,False,True,False,696.5234381453032,4.6639042008693155,1.6883566008190796,86.81,3946.68,257.97,1.73,32.15,1461.73,0.63
R-56924,GR|Sandwich|Shrimp Remoulade,FT SWEETGREEN,Green,False,False,True,1120.362272217232,4.693012465016277,0.8159454587181152,90.65,3281.66,290.25,1.22,23.48,850.17,0.21
R-61854,GR|Sandwich|Turkey Pear & Brie,FT SWEETGREEN,Yellow,False,True,False,587.0406326551085,7.658893285480432,0.881059466839853,75.35,3300.39,311.5,4.06,39.98,1751.29,0.47
R-51207,GR|Smoothie|Blueberry Boost,FT SWEETGREEN,Yellow,False,True,False,730.0875134423077,2.3137226730769234,1.016750940384615,149.32,7374.62,200.02,0.63,40.91,2020.44,0.28
R-51205,GR|Smoothie|Delish,FT SWEETGREEN,Green,False,False,True,703.713195346154,2.5486299615384618,0.6288679576923076,109.96,5239.57,192.8,0.7,30.13,1435.5,0.17
R-51208,GR|Smoothie|Hawaiian Sun,FT SWEETGREEN,Green,False,False,True,514.6792307692308,1.0153076923076925,0.4977384615384614,46.5,3238.63,141.01,0.28,12.74,887.3,0.14
R-43213,GR|Smoothie|Mango Bliss,FT SWEETGREEN,Yellow,False,True,False,293.0305833333333,1.01895,0.3685916666666667,29.93,1731.16,258.41,0.9,26.39,1526.62,0.33
R-51209,GR|Smoothie|Orange Zinger,FT SWEETGREEN,Green,False,False,True,251.76955784696665,1.7901954038343335,0.4875894963161584,51.27,3396.99,68.98,0.49,14.05,930.68,0.13
R-51206,GR|Smoothie|Rise & Shine,FT SWEETGREEN,Green,False,False,True,761.2830512820512,1.584679487179487,0.5514174358974359,107.06,5241.59,208.57,0.43,29.33,1436.05,0.15
R-49036,GR|Smoothie|Strwbry Cupid,FT SWEETGREEN,Red,True,False,False,8.203149802197801,0.0429968791208791,0.0093408527472527,1.4,73.18,820.31,4.3,140.0,7318.0,0.93
R-73290,GR|Soy-ginger Pulled Jackfruit,FEAST,Green,False,False,True,179.8985676961439,1.150055522404736,0.5056016537975749,4.93,200.14,111.74,0.71,3.06,124.31,0.31
R-44823,HC| Bfast Sandwich|Turkey&Egg,FT GRILL BREAKFAST,Yellow,False,True,False,573.4992603789608,6.547253093362933,0.963397659669587,83.43,2925.97,247.84,2.83,36.05,1264.46,0.42
R-28232,HC|B'fast Sand|Sausage & Egg,FT GRILL BREAKFAST,Yellow,False,True,False,517.3367636786606,4.9280531809629275,0.8117676683020865,79.68,2975.21,237.97,2.27,36.65,1368.54,0.37
R-45077,HC|Bfast Sandwich|B.E.T.C.,FT GRILL BREAKFAST,Yellow,False,True,False,909.71723656035,11.534565760605718,1.6980364337574216,157.49,5288.48,299.64,3.8,51.87,1741.92,0.56
R-69443,HC|Bfast Sandwich|VEGAN,FEAST,Green,False,False,True,439.3991705468823,2.29830927750007,1.336049491687516,37.18,1238.3,170.9,0.89,14.46,481.62,0.52
R-44828,HC|Bfast Wrap|Mexi Egg,FT GRILL BREAKFAST,Yellow,False,True,False,609.6121195138043,7.740379475458243,1.2226823760028602,109.17,3997.25,268.55,3.41,48.09,1760.9,0.54
R-71429,HC|Ham & Cheese Croissant,FEAST,Red,True,False,False,430.8315424239271,6.068694130709064,0.580710589699694,84.65,2765.34,323.93,4.56,63.65,2079.2,0.44
R-51258,HC|Quiche|Denver,FEAST,Red,True,False,False,688.171567461105,7.005051005726924,1.0993131683362651,89.27,4055.54,513.56,5.23,66.62,3026.52,0.82
