Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-62215,SL|Herb'd Pork Loin|Plate|AAD,GV SIMPLY LOCAL,Red,True,False,False,2782.3691645079552,32.61019879076928,5.8265055271200605,420.38,12783.37,671.42,7.87,101.44,3084.79,1.41
R-44903,SL|Herbed chicken breast|AAD,GV SIMPLY LOCAL,Red,True,False,False,809.9202102564104,21.46559487179487,2.1180389743589747,68.43,80.59,529.36,14.03,44.73,52.67,1.38
R-72724,SL|Inihaw Na BaboyPorkChop|AAD,GV SIMPLY LOCAL,Red,True,False,False,2438.8156701090784,31.667329594064412,4.674241715890371,409.06,12392.11,488.35,6.34,81.91,2481.4,0.94
R-72816,SL|Jerk Chicken or Pork|AAD,GV SIMPLY LOCAL,Red,True,False,False,2382.47729369999,35.4099859845859,4.679306666666653,304.65,7819.99,644.96,9.59,82.47,2116.94,1.27
R-51176,SL|Lamb Roast Plate|AAD,GV SIMPLY LOCAL,Red,True,False,False,9634.57530452775,53.81644244612568,33.34188915856002,124.79,986.07,2141.02,11.96,27.73,219.13,7.41
R-71912,SL|Lemon herb Cod|Plate|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,959.4547541019294,9.474857085277897,1.4666000811052693,159.07,1633.98,259.38,2.56,43.0,441.74,0.4
R-62207,SL|Lemon tym Chicken Thigh|AAD,GV SIMPLY LOCAL,Red,True,False,False,1563.9234754097406,35.17335921587842,3.518068049886621,122.27,825.33,378.31,8.51,29.58,199.64,0.85
R-58436,SL|Olive dressed Chicken|AAD,GV SIMPLY LOCAL,Red,True,False,False,1324.9518625840026,32.42848976139247,3.636535450595252,105.69,183.51,803.0,19.65,64.05,111.22,2.2
R-71995,SL|Panang Curry|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,459.89492112419254,11.77535248292872,1.1884948347524311,40.63,268.7,296.71,7.6,26.21,173.35,0.77
R-71913,SL|Peri-Peri Chicken Thigh|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,1519.0998316330706,24.2294569090087,3.5270353747294374,87.28,801.16,362.21,5.78,20.81,191.03,0.84
